,DR (Both Correct),DR (Only IPW Correct),DR (Only OR Correct),DR (Both Incorrect),Incorrect OR,Incorrect IPW
53,2.0079583680967255,1.9845677040113348,2.009014836168292,1.9937392093170851,2.0618407632582856,2.1947993592345507
54,2.0157845311012395,1.9946455264380756,2.01683207272579,2.029490962826415,2.0932439008115065,2.236066488079078
55,1.9943080012381853,2.0035714327108156,1.997171877722792,2.0160883645881214,2.0779326998778793,2.208551671166182
56,2.0041711854688877,2.0338689049405048,1.994456901628937,2.0472243505490386,2.1018715482256525,2.261381156959995
57,1.997396866753793,2.0137007292340026,1.9875386004233928,2.0191533899452683,2.0812363852572617,2.211797864590081
58,1.9778353590415085,2.024590776242381,1.9855750022238854,2.0278533864176076,2.0972136838802764,2.2450433963219294
59,1.9883559394271786,1.9623346830775081,1.9951444766708786,2.002956347649582,2.0638371476114465,2.2176769224135575
60,1.99687731961041,1.971329257086933,1.9900458609655023,1.9895145708522863,2.0537829426906216,2.179176824212149
61,2.010282511187159,2.0398502152800404,2.008115858605104,2.0438269364740815,2.095548060389777,2.250220949255904
62,1.996124049280298,1.9607621394831047,1.9931764539914698,1.980617376285926,2.04558184835585,2.186847481223344
63,1.9998838305514466,2.0186069297123033,1.9998162989684203,2.0228468130437838,2.0903330899431456,2.223546406228287
64,2.003589175526397,2.0360279733823194,2.007560413489103,2.0437961697048976,2.1000612679105846,2.250178882823877
65,2.004845034128127,2.018268368496864,2.0024143771617617,2.0125528256222642,2.0766001141186012,2.2084060734116724
66,2.01204752672035,2.0759018110419216,2.0139783921797405,2.0719126344997476,2.1239973035803166,2.286791538944526
67,1.9685462308162043,1.99355375685081,1.9818160029814829,2.0145572221792802,2.08317759925846,2.2318743339986455
68,1.9970830869658902,2.0142393974096104,1.99476302059585,2.0321434837584045,2.0938222072715287,2.248105712000402
69,1.9994670356821211,2.013638016271899,2.0019808795159904,2.0526409171974436,2.102415298304021,2.252951746236621
70,2.003754940947504,2.0366865426130203,2.0137487514684276,2.0615137376588724,2.121054806415617,2.2710106899931124
71,1.998206921241821,1.9943929490015968,2.006867008977641,1.9915070154760801,2.0697424510357196,2.1963496222643766
72,1.9972167444361002,1.9948048238136689,1.9979581910495756,2.00079615071234,2.069543120532231,2.1977414604746106
73,1.9951382828265922,1.999752776137605,1.9959219829189359,2.0233756898447823,2.093665378277412,2.2272156030600794
74,1.9972482788323866,1.9450818153164224,1.9980699462555571,1.959223862569994,2.0350021815764343,2.1580863734227007
75,1.992464650175206,1.961012732318801,1.9915083703536092,2.0054926367383183,2.081277351812905,2.2209998166165668
